Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
178,0.2638285671089132,-1.699992648395676,-1.5116523572214597,0.36686614817735247,-0.9650610530495838,1.8763169913674134,0.7421193926521442
179,0.2641277492018915,-1.6948815487917195,-1.5116270600235822,0.44079353086594575,-0.8803178122675269,0.6160601774639457,0.8335015772457935
180,0.26442706056080667,-1.689770454979833,-1.5116017621054865,0.39298542263392633,-0.879322579978546,-0.19213527874754713,0.8205808982379647
181,0.26472650119065716,-1.6846593669635277,-1.5115764634661824,0.3796435910918068,-0.7246610292572345,-0.2158781340445563,0.9668519772696309
182,0.26502607109650156,-1.6795482847462295,-1.5115511641046662,0.5093075308077786,-0.6366030315052722,-2.7371547101940745,1.0711714301719015
183,0.26532577028343207,-1.6744372083312773,-1.5115258640199107,0.36158995383548864,-0.9752940675891163,-2.8153064949857645,0.7057392750029979
184,0.2656255987565477,-1.6693261377219255,-1.5115005632108844,0.13116577941478297,-0.9014222478782498,-1.6289493858830042,0.7795869592639862
185,0.2659255565209269,-1.6642150729213445,-1.5114752616765457,0.07640026628432087,-0.8345808509285068,1.5105812974779087,0.8510069200311657
186,0.26622564358160117,-1.65910401393263,-1.5114499594158615,0.24804464828638112,-0.8455272981181924,1.235800782870749,0.8137798357696823
187,0.266525859943528,-1.6539929607588038,-1.5114246564278049,0.3309747519803034,-0.7518497678321411,0.25416858737489767,0.9044423697664111
188,0.2668262056115667,-1.6488819134028248,-1.511399352711356,0.23786742656103713,-0.809793608930027,-1.7355109047485853,0.8395878712720497
189,0.26712668059045463,-1.6437708718675939,-1.511374048265515,0.3898102521246307,-0.8567986916407117,-0.2111023221266745,0.7964775396553462
190,0.26742728488478607,-1.638659836155968,-1.511348743089305,0.5108342479213387,-0.8947250523110012,-2.4254688342529875,0.7827425581052402
191,0.26772801849899375,-1.633548806270767,-1.511323437181779,0.33996208358314883,-0.886708484759557,-1.4997090825412787,0.7503254133997792
192,0.26802888143733317,-1.628437782214786,-1.5112981305420192,0.2940542818564939,-1.1404533855874424,-1.1917645257832221,0.48867790293682223
193,0.26832987370386996,-1.623326763990806,-1.5112728231691384,0.41200428118163285,-0.8623139718316252,-0.10515916892366714,0.7744564579070916
194,0.2686309953024701,-1.6182157516016056,-1.511247515062287,0.49613142556072853,-0.7701929702739357,0.4415660551187403,0.8780085896040024
195,0.26893224623679485,-1.6131047450499731,-1.511222206220654,0.20390846682169844,-0.779206678121553,-0.7652999008134255,0.8364293621797234
196,0.2692336265102983,-1.607993744338717,-1.5111968966434624,0.3745078316132833,-0.7754919146442301,-2.8908987157072183,0.8391316670849299
197,0.2695351361262289,-1.602882749470676,-1.5111715863299755,0.5345079437856113,-1.0357330994825744,1.2655243238106975,0.6259946599456918
198,0.26983677508763493,-1.5977717604487316,-1.5111462752794886,0.48999520259473545,-0.9627896327279697,2.3194865336670594,0.6720654995810939
199,0.2701385433973733,-1.5926607772758146,-1.5111209634913385,0.5214794802394829,-0.9595014027998211,0.7192466363344976,0.6812217407125969
200,0.27044044105812165,-1.587549799954914,-1.5110956509648847,0.18304381384528595,-0.8769848419849823,-1.1467589390967257,0.7159194996247764
201,0.2707424680723937,-1.5824388284890833,-1.5110703376995176,0.36528207363592036,-0.9205634474943275,-0.7838230932624601,0.6685931176635461
202,0.2710446244425577,-1.5773278628814473,-1.5110450236946453,0.07451233525155507,-1.2118841372451048,-0.08154102345144953,0.4149386187156195
203,0.2713469101708571,-1.5722169031352065,-1.5110197089497044,0.583191787770799,-0.7844603937204476,0.1638232501565331,0.8472352364076035
